old,new,note
phase-one,roadmap/validate,phase hub becomes roadmap stage view
phase-two,roadmap/build,phase hub becomes roadmap stage view
phase-three,roadmap/grow,phase hub becomes roadmap stage view
phase-four,roadmap/scale,phase hub becomes roadmap stage view
idea-validation,validation,written guide becomes /validation hub index
ecosystem-overview,ecosystem,written guide becomes /ecosystem hub index
funding-roadmap,funding,written guide becomes /funding hub index
phase-one/how-to-find-startup-ideas-in-bangladesh,ideas/finding-ideas,
phase-one/ideation-and-problem-validation-in-the-bangladeshi-market,ideas/ideation-basics,
phase-one/copied-ideas-vs-localized-ideas,ideas/copy-vs-localize,
phase-one/common-opportunity-sectors-fintech-agritech-edtech-healthtech-logistics-e-commerce,ideas/opportunity-sectors,
phase-one/turning-a-problem-list-into-a-business-opportunity,ideas/problem-to-opportunity,
phase-one/problem-validation-checklist,ideas/problem-validation-checklist,
phase-one/problem-ranking-scorecard,ideas/problem-ranking-scorecard,
phase-one/b2c-vs-b2b-vs-b2b2c-in-bangladesh,ideas/b2c-vs-b2b,
phase-one/export-oriented-saas-from-bangladesh,ideas/export-saas,
phase-one/understanding-demographics-internet-penetration-mobile-first-behavior-urban-vs-rural-dynamics,ideas/market-demographics,
phase-one/market-research-checklist-for-bangladesh,ideas/market-research-checklist,
phase-one/how-to-size-a-market-in-bangladesh,ideas/market-sizing,
phase-one/simple-tamsamsom-sizing-for-bangladesh,ideas/tam-sam-som,
phase-one/where-to-find-bangladesh-market-data-bbs-world-bank-bida-sector-reports,ideas/market-data-sources,
phase-one/using-bbs-btrc-world-bank-and-datareportal-for-market-research,ideas/using-market-data,
phase-one/how-to-cite-bangladesh-market-data-cleanly,ideas/citing-market-data,
phase-one/competitor-map-online-offline-and-informal-competitors,ideas/competitor-map,
phase-one/using-facebook-ad-library-for-market-and-competitor-research,ideas/facebook-ad-library,
phase-one/rural-vs-urban-customer-adoption-differences,ideas/rural-vs-urban,
phase-one/choosing-launch-cities-dhaka-chattogram-sylhet-rajshahi-khulna,ideas/launch-cities,
phase-one/customer-discovery-interviews-in-bangladesh,validation/customer-interviews,
phase-one/why-interviews-beat-surveys-in-bangladesh,validation/interviews-vs-surveys,
phase-one/customer-interview-scripts-in-bangla-and-english,validation/interview-scripts,
phase-one/how-to-build-bangladeshi-consumer-personas,validation/consumer-personas,
phase-one/collecting-customer-language-for-bangla-copywriting,validation/customer-language,
phase-one/field-research-plan-markets-shops-and-neighborhoods,validation/field-research-plan,
phase-one/field-notes-template-for-shops-markets-and-neighborhoods,validation/field-notes-template,
phase-one/how-to-validate-customers-outside-dhaka,validation/outside-dhaka,
phase-one/cultural-considerations-in-validation,validation/cultural-context,
phase-one/how-to-validate-demand-without-building,validation/demand-without-building,
phase-one/testing-demand-in-facebook-groups,validation/facebook-group-tests,
phase-one/pre-orders-vs-waitlists-in-bangladesh,validation/preorders-vs-waitlists,
phase-one/how-to-test-early-trust-signals,validation/trust-signals,
phase-one/how-to-validate-customer-payment-behavior,validation/payment-behavior,
phase-one/pricing-tests-in-low-trust-markets,validation/pricing-tests,
phase-one/mvp-examples-for-bangladesh,validation/mvp-examples,
phase-one/mvp-experiment-planner,validation/mvp-experiment-planner,
phase-one/solo-founder-vs-team-founder-tradeoffs-in-bangladesh,cofounders/solo-vs-team,
phase-one/founder-agreement-basics,cofounders/founder-agreement,
phase-one/co-founder-equity-splits-and-vesting-in-bangladesh,cofounders/equity-and-vesting,
phase-one/should-you-start-as-a-sole-proprietorship,registration/sole-proprietorship,
phase-one/sole-proprietorship-vs-partnership-vs-private-limited-company,-,covered by /company-types
phase-one/private-limited-opc-or-sole-proprietorship-decision-tree,registration/structure-decision-tree,
phase-one/business-structure-comparison-table-with-costs-and-timelines,registration/structure-comparison,
phase-one/one-person-company-opc-under-companies-act-1994,registration/opc,
phase-one/partnership-deed-essentials,registration/partnership-deed,
phase-one/when-to-register-a-company,registration/when-to-register,
phase-one/rjsc-name-clearance,registration/name-clearance,
phase-one/private-limited-company-registration-step-by-step,registration/private-limited,
phase-one/memorandum-and-articles-of-association-basics,registration/moa-aoa,
phase-one/share-capital-directors-and-shareholders-basics,registration/shares-and-directors,
phase-one/rjsc-fees-and-timeline-expectations,registration/rjsc-fees,
phase-one/common-rjsc-mistakes,registration/rjsc-mistakes,
phase-one/certified-copies-and-returns-filing-basics,registration/certified-copies,
phase-one/board-meetings-agm-and-minutes-basics,registration/board-meetings-agm,
phase-one/rjsc-annual-returns-and-filing-calendar,registration/annual-returns,
phase-one/first-10-things-after-company-registration,registration/after-registration,
phase-one/digital-business-identity-dbid,registration/dbid,
phase-one/how-to-use-bida-oss-and-banglabiz-starter-resources,registration/bida-banglabiz,
phase-one/how-to-choose-a-ca-lawyer-and-company-secretary,registration/ca-lawyer-secretary,
phase-one/basics-of-starting-a-foreign-owned-company-in-bangladesh,registration/foreign-owned-company,
phase-one/branch-liaison-and-representative-office-differences,registration/branch-liaison-office,
phase-one/what-to-consider-before-closing-a-company,registration/before-closing,
phase-one/closing-down-a-company-legally,registration/closing-a-company,
phase-one/trade-license-guide,-,covered by /trade-license
phase-one/choosing-the-right-trade-license-category-by-city-corporation,licenses/trade-license-category,
phase-one/trade-license-costs-and-renewal-process,licenses/trade-license-renewal,
phase-one/fire-license-and-safety-clearance-basics,licenses/fire-license,
phase-one/environmental-clearance-which-businesses-need-it,licenses/environmental-clearance,
phase-one/when-bsti-certification-is-required,licenses/bsti,
phase-one/product-labeling-and-packaging-compliance,licenses/product-labeling,
phase-one/bfsa-and-food-safety-checklist-for-food-businesses,licenses/food-safety,
phase-one/dgda-pathway-for-medicine-supplements-and-health-products,licenses/dgda,
phase-one/btrc-questions-for-sms-telecom-and-isp-products,licenses/btrc,
phase-one/regulatory-checklist-for-ride-sharing-or-transport-products,licenses/ride-sharing,
phase-one/licensing-questions-for-courier-or-logistics-businesses,licenses/courier-logistics,
phase-one/checklist-for-starting-a-travel-agency-or-tour-operator,licenses/travel-agency,
phase-one/factory-license-and-dife-compliance-basics,licenses/factory-license,
phase-one/factory-utility-setup-electricity-gas-water-and-boiler,licenses/factory-utilities,
phase-one/e-tin-guide,tax/e-tin,
phase-one/personal-e-tin-vs-company-tin,tax/personal-vs-company-tin,
phase-one/vatbin-guide,tax/vat-bin,
phase-one/when-vat-registration-is-required,tax/when-vat-required,
phase-one/turnover-tax-and-vat-threshold-explainer,tax/vat-thresholds,
phase-one/mushak-63-invoice-and-vat-documentation-basics,tax/mushak-63,
phase-one/monthly-return-workflow-after-binvat-registration,tax/monthly-vat-return,
phase-one/how-to-file-tax-and-vat-returns,tax/filing-returns,
phase-one/a-chalan-and-online-tax-payment-workflow,tax/a-chalan,
phase-one/tax-calendar-income-tax-vat-tds-vds-and-annual-returns,tax/tax-calendar,
phase-one/tdsvds-on-vendor-payments,tax/tds-vds,
phase-one/payroll-tax-and-employee-documentation,tax/payroll-tax,
phase-one/audit-accounts-and-bookkeeping-setup,tax/bookkeeping-setup,
phase-one/annual-compliance-checklist,tax/annual-compliance,
phase-one/regulatory-changelog-for-budget-nbr-circulars-rjsc-notices,tax/regulatory-changelog,
phase-one/how-to-update-the-budget-changelog-every-june,tax/budget-changelog,
phase-one/business-bank-account-guide,payments/bank-account,
phase-one/which-banks-are-startup-friendly,payments/startup-friendly-banks,
phase-one/corporate-bank-account-documentation-checklist,payments/bank-documents,
phase-one/what-you-need-to-open-a-merchant-account,payments/merchant-account,
phase-one/bkashnagadpayment-gateway-basics,payments/mfs-and-gateways,
phase-one/bkash-merchant-account-vs-personal-account,payments/bkash-merchant,
phase-one/nagad-and-rocket-merchant-setup-checklist,payments/nagad-rocket-merchant,
phase-one/payment-gateway-integration-sslcommerz-amarpay-portwallet,payments/gateway-integration,
phase-one/sslcommerz-aamarpay-and-portwallet-comparison-checklist,payments/gateway-comparison,
phase-one/low-card-penetration-implications,payments/low-card-penetration,
phase-one/international-payment-card-and-payment-link-constraints,payments/international-payments,
phase-one/reality-of-taking-subscription-payments-in-bangladesh,payments/subscription-payments,
phase-one/payment-reconciliation-across-gateway-wallet-bank-and-cod,payments/reconciliation,
phase-one/cod-cash-reconciliation-template,payments/cod-reconciliation,
phase-one/refunds-chargebacks-and-dispute-handling,payments/refunds-chargebacks,
phase-one/payment-fraud-risk-checklist,payments/fraud-risk-checklist,
phase-one/islamic-finance-halal-business-considerations-where-relevant,funding/islamic-finance,
phase-one/intellectual-property-and-trademark-basics,ip/basics,
phase-one/copyright-patents-designs-and-trademarks,ip/copyright-patent-design,
phase-one/trademark-conflict-check-before-choosing-a-brand-name,ip/trademark-conflict-check,
phase-one/trademark-search-and-filing-guide,ip/trademark-filing,
phase-one/patent-design-and-gi-which-one-matters-for-you,ip/patent-design-gi,
phase-one/copyright-basics-for-software-courses-and-content,ip/copyright,
phase-one/how-to-get-ip-assignment-from-freelancers,ip/freelancer-ip-assignment,
phase-one/importexport-registration-basics,trade/import-export-registration,
phase-one/ircerc-checklist,trade/irc-erc-checklist,
phase-one/step-by-step-guide-to-ircerc,trade/irc-erc-steps,
phase-one/how-to-find-the-right-hs-code,trade/hs-codes,
phase-one/incoterms-in-plain-bangla,trade/incoterms,
phase-one/lc-lcaf-and-bank-documentation-basics,trade/lc-basics,
phase-one/proforma-invoice-commercial-invoice-and-packing-list,trade/trade-documents,
phase-one/when-a-certificate-of-origin-is-needed,trade/certificate-of-origin,
phase-one/landed-cost-calculator-duty-vat-freight-and-clearing,tools/landed-cost-calculator,
phase-one/choosing-a-freight-forwarder-air-sea-and-courier,trade/freight-forwarders,
phase-one/c-and-f-agent-selection-checklist,trade/cnf-agents,
phase-one/what-to-do-when-customs-clearance-is-delayed,trade/customs-delays,
phase-one/what-bonded-warehouses-are-and-who-should-use-them,trade/bonded-warehouses,
phase-one/foreign-supplier-verification-checklist,trade/supplier-verification,
phase-one/reducing-risk-when-importing-from-alibaba,trade/alibaba-imports,
phase-one/sample-imports-and-prototype-shipments,trade/sample-imports,
phase-one/pre-shipment-quality-inspection-checklist,trade/pre-shipment-inspection,
phase-one/epb-registration-and-export-incentive-path,trade/epb-registration,
phase-one/export-proceeds-repatriation-basics,trade/export-proceeds,
phase-one/when-to-consider-bepza-and-beza-for-export-manufacturing,trade/bepza-beza,
phase-one/foreign-exchange-basics-for-saas-export-remittance-and-foreign-shareholders,trade/foreign-exchange,
phase-two/how-to-find-co-founders,cofounders/finding-cofounders,
phase-two/where-to-meet-co-founders-events-communities-universities,cofounders/where-to-meet,
phase-two/founder-role-matrix-who-does-what,cofounders/role-matrix,
phase-two/how-to-structure-co-founder-agreements,cofounders/agreement-structure,
phase-two/equity-split-discussion-guide,cofounders/equity-split,
phase-two/vesting-basics-translated-into-plain-bangla,cofounders/vesting,
phase-two/esop-or-employee-share-plan-basics,cofounders/esop,
phase-two/advisor-agreements-and-mentor-equity-basics,cofounders/advisor-equity,
phase-two/family-involvement-as-informal-co-founders,cofounders/family-cofounders,
phase-two/written-terms-when-taking-family-money,cofounders/family-money-terms,
phase-two/how-to-handle-a-co-founder-breakup,cofounders/breakup,
phase-two/building-your-product-in-bangladesh,product/building-basics,
phase-two/building-a-no-code-mvp-when-it-is-enough,product/no-code-mvp,
phase-two/tech-stack-considerations-mobile-first-low-bandwidth-optimization,product/tech-stack,
phase-two/bangla-ux-and-mobile-first-products,product/bangla-ux,
phase-two/bangla-ux-writing-words-tone-and-flow,product/bangla-ux-writing,
phase-two/optimizing-products-for-low-end-android-phones,product/low-end-android,
phase-two/sms-otp-costs-and-alternative-login-flows,product/sms-otp-login,
phase-two/cybersecurity-basics-for-small-startups,product/cybersecurity,
phase-two/data-privacyprotection-obligations-for-customer-data,product/data-privacy,
phase-two/customer-data-consent-and-privacy-notice-template,product/privacy-notice-template,
phase-two/ict-act-and-emerging-regulations-overview,product/ict-act,
phase-two/from-prototype-to-first-batch,manufacturing/first-batch,
phase-two/building-a-bom-and-costing-sheet,manufacturing/bom-costing,
phase-two/local-supplier-sourcing-checklist,manufacturing/supplier-sourcing,
phase-two/manufacturing-partner-due-diligence,manufacturing/partner-due-diligence,
phase-two/quality-control-checklist-for-first-production-run,manufacturing/quality-control,
phase-two/packaging-and-label-design-approval-workflow,manufacturing/packaging-labels,
phase-two/inventory-and-warehouse-setup,manufacturing/inventory-warehouse,
phase-two/how-to-plan-if-cold-chain-is-required,manufacturing/cold-chain,
phase-two/hiring-first-employees,team/first-hires,
phase-two/hiring-first-employee-vs-freelancer-vs-intern,team/employee-vs-freelancer,
phase-two/where-to-find-talent-linkedin-facebook-groups-chakricom-bdjobs-university-career-offices,team/find-talent,
phase-two/how-to-write-job-posts-in-bangla,team/bangla-job-posts,
phase-two/hiring-scorecard,team/hiring-scorecard,
phase-two/salary-benchmarks-research-plan,team/salary-benchmarks,
phase-two/offer-letter-probation-and-joining-checklist,team/offer-letter,
phase-two/interns-and-student-talent,team/interns,
phase-two/how-to-run-your-first-internship-program,team/internship-program,
phase-two/finding-developers-in-bangladesh,team/finding-developers,
phase-two/freelancer-ecosystem-and-local-vs-offshore-development,team/freelancers-vs-offshore,
phase-two/remoteoutsourced-hiring-as-a-bootstrapping-tactic,team/remote-outsourced-hiring,
phase-two/freelancer-contract-and-ip-ownership-checklist,team/freelancer-contracts,
phase-two/labor-law-basics-bangladesh-labour-act-2006,team/labor-law,
phase-two/employment-contracts,team/employment-contracts,
phase-two/ip-assignment-nda-non-compete-enforceability-basics,team/nda-non-compete,
phase-two/payroll-process-salary-sheet-bank-transfer-and-tax,team/payroll,
phase-two/epf-gratuity-and-benefits-basics,team/benefits-gratuity,
phase-two/leave-policy-and-office-rules-template,team/leave-policy,
phase-two/termination-notice-period-and-gratuity-basics,team/termination,
phase-two/culture-mistakes-in-bangladeshi-startups,team/culture-mistakes,
phase-two/remote-team-norms,team/remote-team-norms,
phase-two/talent-retention-and-brain-drain,team/retention,
phase-three/offline-to-online-behavior,customers/offline-to-online,
phase-three/building-on-facebookwhatsapp-before-a-full-website,customers/facebook-before-website,
phase-three/facebook-page-shop-and-inbox-ops-setup,customers/facebook-page-setup,
phase-three/facebook-commerce-playbook,customers/facebook-commerce,
phase-three/whatsapp-and-messenger-sales-playbook,customers/whatsapp-messenger-sales,
phase-three/whatsapp-catalog-and-broadcast-workflow,customers/whatsapp-catalog,
phase-three/marketplace-vs-owned-storefront-darazfacebook-shop-vs-your-own-site,customers/marketplace-vs-own-site,
phase-three/digital-commerce-policy-and-what-it-requires-of-an-online-shop,customers/digital-commerce-policy,
phase-three/return-refund-and-exchange-policy-template,customers/return-policy-template,
phase-three/bangla-customer-support-scripts,customers/support-scripts,
phase-three/tools-accessible-and-affordable-for-bangladeshi-startups,tools/affordable-tools,
phase-three/how-to-get-your-first-100-customers-in-bangladesh,customers/first-100-customers,
phase-three/trust-building-in-low-trust-markets,customers/trust-building,
phase-three/price-sensitivity-and-willingness-to-pay,customers/willingness-to-pay,
phase-three/installment-culture-and-pricing-strategy-for-bangladesh,customers/installment-pricing,
phase-three/bangla-landing-page-copywriting,customers/landing-page-copy,
phase-three/landing-page-template,customers/landing-page-template,
phase-three/seo-in-bangla,customers/bangla-seo,
phase-three/facebook-ad-test-planner,customers/facebook-ad-planner,
phase-three/creating-demand-with-tiktok-and-youtube-shorts,customers/tiktok-shorts,
phase-three/influencer-marketing-in-bangladesh,customers/influencer-marketing,
phase-three/community-seeding-in-public-groups-campuses-and-niches,customers/community-seeding,
phase-three/campus-ambassador-model,customers/campus-ambassadors,
phase-three/referral-programs-for-bangladesh,customers/referral-programs,
phase-three/offline-marketing-and-distribution,customers/offline-marketing,
phase-three/media-pitch-guide-future-startup-daily-star-tbs-and-prothom-alo,customers/media-pitch,
phase-three/courierlogistics-options,operations/courier-options,
phase-three/working-with-pathao-steadfast-redx-paperfly-and-similar-providers,operations/courier-partners,
phase-three/courier-sla-comparison-scorecard,operations/courier-sla-scorecard,
phase-three/last-mile-delivery-constraints,operations/last-mile-delivery,
phase-three/cod-and-delivery-risk,operations/cod-risk,
phase-three/cash-on-delivery-risk-checklist,operations/cod-risk-checklist,
phase-three/cod-fraud-and-fake-order-response-playbook,operations/cod-fraud-playbook,
phase-three/reducing-return-to-origin-and-failed-delivery,operations/reducing-rto,
phase-three/warehouse-hub-model-for-bangladesh,operations/warehouse-hub-model,
phase-three/sme-sales-in-bangladesh,b2b/sme-sales,
phase-three/sme-digitization-barriers,b2b/sme-digitization,
phase-three/sme-sales-call-script,b2b/sme-call-script,
phase-three/b2b-sales-scripts,b2b/sales-scripts,
phase-three/corporate-partnership-dynamics,b2b/corporate-partnerships,
phase-three/from-corporate-pilot-to-paid-contract,b2b/pilot-to-contract,
phase-three/ngo-and-development-sector-partnerships,b2b/ngo-partnerships,
phase-three/agency-to-product-transition,b2b/agency-to-product,
phase-three/expanding-beyond-dhaka,growth/beyond-dhaka,
phase-three/dhaka-vs-chattogram-vs-tier-2-city-differences,growth/city-differences,
phase-three/selling-outside-dhaka,growth/selling-outside-dhaka,
phase-three/distribution-outside-dhaka,growth/distribution-outside-dhaka,
phase-three/delivery-zone-plan-outside-dhaka,growth/delivery-zone-plan,
phase-three/dealer-and-distributor-model,growth/dealer-distributor-model,
phase-three/how-to-get-retail-shelf-placement,growth/retail-shelf-placement,
phase-three/city-launch-playbook,growth/city-launch-playbook,
phase-three/tier-2-city-local-partner-checklist,growth/tier-2-partners,
phase-three/rural-market-considerations,growth/rural-markets,
phase-three/compliance-checklist-for-a-second-office-or-factory,growth/second-office-compliance,
phase-three/going-regional-in-south-asia,growth/south-asia-expansion,
phase-three/regional-export-nepal-india-and-the-middle-east,growth/regional-export,
phase-three/cross-border-regulatory-considerations,growth/cross-border-rules,
phase-three/second-time-founder-topics,founder-life/second-time-founders,
phase-three/startup-metrics-101,metrics/metrics-101,
phase-three/cac-ltv-retention-churn-payback,metrics/cac-ltv-churn,
phase-three/cohort-retention-in-the-bangladesh-context,metrics/cohort-retention,
phase-three/unit-economics-template,metrics/unit-economics,
phase-three/e-commerce-metrics,metrics/e-commerce,
phase-three/marketplace-metrics,metrics/marketplace,
phase-three/saas-metrics,metrics/saas,
phase-three/monthly-founder-dashboard,metrics/founder-dashboard,
phase-three/manual-ops-dashboard-for-early-teams,metrics/ops-dashboard,
phase-three/basic-bookkeepingaccounting-a-non-accountant-founder-needs,tax/bookkeeping-basics,
phase-three/cashflow-vs-profit-in-plain-language-for-founders,metrics/cashflow-vs-profit,
phase-three/purchase-order-invoice-and-collection-workflow,b2b/invoice-collection,
phase-three/break-even-calculator,tools/break-even-calculator,
phase-three/runway-calculator,tools/runway-calculator,
phase-three/working-capital-cycle-calculator,tools/working-capital-calculator,
phase-three/inventory-turnover-calculator,tools/inventory-turnover-calculator,
phase-three/vat-calculator,tools/vat-calculator,
phase-three/salarypf-calculator,tools/salary-pf-calculator,
phase-three/bootstrapping-in-bangladesh,funding/bootstrapping,
phase-three/friends-and-family-funding,funding/friends-family,
phase-three/bank-loan-sme-loan-or-equity,funding/loan-or-equity,
phase-three/grants-and-competitions,funding/grants-competitions,
phase-three/idea-project-and-bangabandhu-innovation-grant,funding/idea-and-big,
phase-three/bangabandhu-innovation-grant-application-guide,funding/big-application,
phase-three/grant-application-calendar,funding/grant-calendar,
phase-three/bangladesh-bank-startup-fund,funding/bb-startup-fund,
phase-three/startup-bangladesh,funding/startup-bangladesh,
phase-three/startup-bangladesh-due-diligence-checklist,funding/startup-bangladesh-dd,
phase-three/crowdfunding-legality-in-bangladesh,funding/crowdfunding,
phase-three/angel-investors,funding/angel-investors,
phase-three/bangladesh-angels-network,funding/bangladesh-angels,
phase-three/bangladesh-angels-network-outreach-tracker,funding/ban-outreach-tracker,
phase-three/local-vc-landscape,funding/local-vcs,
phase-three/international-investors,funding/international-investors,
phase-three/nrb-or-diaspora-funding-path,funding/diaspora-funding,
phase-three/foreign-investmentfdi-rules-and-diaspora-funding,funding/fdi-rules,
phase-three/investor-crm,funding/investor-crm,
phase-three/pitch-deck-template,funding/pitch-deck,
phase-three/fundraising-data-room-checklist,funding/data-room,
phase-three/valuation-basics,funding/valuation,
phase-three/term-sheet-basics-in-plain-bangla,funding/term-sheets,
phase-three/safe-convertible-notes-and-priced-rounds-in-plain-bangla,funding/safe-convertible-notes,
phase-three/cap-table-basics-in-plain-bangla,funding/cap-table,
phase-three/how-to-reflect-family-money-in-the-cap-table,funding/family-money-cap-table,
phase-three/dealing-with-first-investor-board-seat-and-loss-of-control,funding/first-board-seat,
phase-three/monthly-investor-update-template,funding/investor-updates,
phase-three/investor-board-report-template,funding/board-report,
phase-four/phase-4-roadmap,-,covered by /roadmap/scale
phase-four/eventopportunity-calendar,ecosystem/event-calendar,
phase-four/agritech-startup-playbook,industries/agritech,
phase-four/food-and-agro-processing-business-guide,industries/agro-processing,
phase-four/rmg-and-garment-accessories-startup-guide,industries/rmg-garments,
phase-four/light-engineering-and-hardware-manufacturing-guide,industries/light-engineering,
phase-four/beauty-and-personal-care-product-business-guide,industries/beauty-care,
phase-four/logistics-startup-playbook,industries/logistics,
phase-four/tourism-and-travel-startup-guide,industries/travel,
phase-four/edtech-trust-and-parent-acquisition-playbook,industries/edtech,
phase-four/saas-export-playbook-from-bangladesh,industries/saas-export,
phase-four/e-commerce-marketplace-regulatory-map,industries/e-commerce-regulations,
phase-four/fintech-regulatory-map,industries/fintech-regulations,
phase-four/healthtech-regulatory-map,industries/healthtech-regulations,
phase-four/government-program-application-guide,ecosystem/government-programs,
phase-four/bida-one-stop-services-and-investment-policy,ecosystem/bida-oss,
phase-four/opening-a-bida-oss-account-and-tracking-service-requests,ecosystem/bida-oss-account,
phase-four/hi-tech-park-authority-programs,ecosystem/hi-tech-parks,
phase-four/hi-tech-park-application-path,ecosystem/hi-tech-park-application,
phase-four/special-economic-zones,ecosystem/economic-zones,
phase-four/bscic-support-for-small-manufacturing,ecosystem/bscic,
phase-four/tax-holidays-for-tech-companies,ecosystem/tax-holidays,
phase-four/export-incentives-for-itites,ecosystem/it-export-incentives,
phase-four/basis-membership-when-it-matters,ecosystem/basis-membership,
phase-four/value-of-e-cab-membership-for-online-sellers,ecosystem/e-cab-membership,
phase-four/founder-communities,ecosystem/founder-communities,
phase-four/mentorship-programs,ecosystem/mentorship,
phase-four/university-entrepreneurship-ecosystems,ecosystem/university-ecosystems,
phase-four/brac-nsu-du-iba-entrepreneurship-clubs,ecosystem/university-clubs,
phase-four/university-e-cell-outreach-playbook,ecosystem/e-cell-outreach,
phase-four/basis-softexpo,ecosystem/basis-softexpo,
phase-four/digital-world,ecosystem/digital-world,
phase-four/techstars-affiliated-events,ecosystem/techstars-events,
start-here/how-to-use-the-bangla-first-startup-knowledge-base,start-here/how-to-use,
start-here/startup-vs-sme-vs-agency-vs-e-commerce-business-in-bangladesh,start-here/startup-vs-sme,
start-here/should-you-build-a-startup-or-a-normal-business,start-here/startup-or-business,
start-here/glossary-bangla-english-startup-jargon-dictionary,start-here/glossary,
start-here/bangladesh-startup-ecosystem-overview,ecosystem/where-to-start,
start-here/common-myths-bangladeshi-founders-believe,start-here/common-myths,
start-here/30-day-roadmap-to-starting-a-startup-in-bangladesh,start-here/30-day-roadmap,
founder-life/founder-life-overview,-,covered by /founder-life
founder-life/family-pressure-and-career-risk,founder-life/family-pressure,
founder-life/family-objection-scripts-job-or-business,founder-life/family-objection-scripts,
founder-life/negotiating-no-from-family-scripts,founder-life/negotiating-no,
founder-life/what-to-say-at-eidwedding-gatherings-when-relatives-ask-if-this-is-a-job,founder-life/eid-gathering-scripts,
founder-life/student-founder-constraints,founder-life/student-founders,
founder-life/student-founder-semester-plan,founder-life/student-semester-plan,
founder-life/women-founder-constraints-safety-client-meetings-travel-visibility,founder-life/women-founders,
founder-life/women-founder-safety-plan-for-client-meetings,founder-life/women-safety-plan,
founder-life/diaspora-founder-constraints,founder-life/diaspora-constraints,
founder-life/diaspora-founder-advantages,founder-life/diaspora-advantages,
founder-life/diaspora-co-founder-and-local-operator-relationship,founder-life/diaspora-local-operator,
founder-life/founder-mental-health-and-burnout,founder-life/mental-health,
founder-life/founder-mental-health-support-map,founder-life/mental-health-support,
case-studies/apon-wellbeing-case-study,case-studies/apon-wellbeing,
case-studies/fashol-case-study,case-studies/fashol,
case-studies/solshare-case-study,case-studies/solshare,
case-studies/fabrilife-case-study,case-studies/fabrilife,
case-studies/failure-post-mortems-as-a-separate-content-category,case-studies/failure-post-mortems,
case-studies/common-reasons-bangladeshi-startups-fail,case-studies/why-startups-fail,
case-studies/lessons-from-advance-payment-e-commerce-failures-in-bangladesh,case-studies/advance-payment-failures,
case-studies/marketplace-trust-collapse-post-mortem-template,case-studies/marketplace-trust-collapse,
case-studies/why-holding-customer-money-is-a-risky-business-model,case-studies/holding-customer-money,
case-studies/fashol-vs-ifarmer-agritech-wedge-comparison,case-studies/fashol-vs-ifarmer,
